user_id,login_time,country,device
84,2021-03-12 05:56:26,India,Desktop
76,2021-02-15 11:00:20,Australia,Mobile
42,2022-04-12 14:29:10,Australia,Tablet
26,2021-01-15 23:41:18,USA,Mobile
51,2021-02-20 06:32:45,UK,Tablet
41,2020-10-23 04:15:40,Australia,Desktop
78,2020-02-12 18:05:31,USA,Tablet
31,2020-11-05 10:19:08,USA,Desktop
48,2022-11-03 09:09:30,Canada,Desktop
58,2022-10-29 01:00:52,Canada,Desktop
90,2020-06-27 18:40:42,Australia,Mobile
50,2020-11-12 05:39:45,USA,Desktop
28,2021-01-07 01:40:58,UK,Tablet
75,2020-08-27 14:13:56,Canada,Tablet
62,2020-12-22 17:36:50,Australia,Mobile
25,2020-06-01 23:27:29,UK,Mobile
91,2021-02-15 07:50:36,Australia,Mobile
98,2020-08-10 07:34:18,India,Mobile
81,2021-06-11 12:49:27,Canada,Mobile
90,2022-11-21 12:15:03,UK,Mobile
31,2020-07-17 19:12:36,USA,Tablet
73,2022-08-27 20:03:16,UK,Desktop
89,2022-12-15 12:54:53,USA,Tablet
68,2020-01-25 08:47:51,Canada,Mobile
47,2021-02-25 06:28:56,India,Tablet
10,2020-11-11 18:11:08,India,Desktop
43,2021-12-01 05:49:32,Australia,Tablet
61,2020-11-07 01:35:49,Australia,Desktop
91,2020-06-06 06:17:53,Australia,Tablet
96,2020-11-19 17:49:20,USA,Desktop
48,2022-01-22 08:02:47,India,Mobile
86,2020-05-06 09:09:15,Australia,Desktop
26,2022-06-19 17:53:36,India,Tablet
80,2021-04-16 22:14:04,UK,Mobile
55,2022-03-31 23:25:25,UK,Desktop
2,2021-10-05 19:08:12,Australia,Mobile
72,2022-04-01 05:35:48,USA,Desktop
40,2020-09-19 03:35:16,Australia,Desktop
82,2020-03-15 19:08:14,UK,Desktop
67,2020-07-27 15:46:10,UK,Tablet
1,2020-05-20 05:29:17,Canada,Tablet
49,2022-05-10 16:29:00,Canada,Mobile
86,2020-12-13 10:56:21,India,Tablet
25,2022-01-28 04:15:02,UK,Desktop
33,2022-04-28 12:31:43,Canada,Desktop
87,2020-03-30 09:13:02,USA,Desktop
19,2020-11-11 03:39:34,USA,Mobile
57,2022-05-19 02:26:44,USA,Mobile
24,2020-07-06 20:19:43,Canada,Desktop
96,2021-10-20 14:49:47,UK,Desktop
80,2021-10-29 06:33:19,Canada,Tablet
45,2020-01-14 08:52:31,UK,Mobile
8,2020-12-14 18:02:30,UK,Mobile
32,2022-08-27 05:07:05,Canada,Tablet
51,2021-04-28 15:45:11,Australia,Desktop
93,2021-10-19 07:06:04,UK,Desktop
11,2022-09-25 15:10:14,UK,Tablet
55,2022-09-30 06:28:48,UK,Desktop
70,2022-04-27 11:30:18,India,Desktop
55,2022-11-12 23:34:27,India,Desktop
81,2022-11-24 21:32:57,Canada,Tablet
54,2021-01-11 07:26:51,Canada,Mobile
96,2020-08-22 08:10:10,Canada,Tablet
60,2020-06-18 02:53:50,Canada,Tablet
59,2020-09-28 23:47:18,Canada,Desktop
45,2021-04-04 01:05:21,Canada,Desktop
60,2021-07-01 19:57:30,UK,Mobile
39,2020-12-28 17:51:45,India,Mobile
57,2020-10-19 00:19:45,Australia,Desktop
29,2021-12-17 09:42:18,UK,Tablet
19,2021-11-28 16:48:48,UK,Mobile
19,2021-06-11 03:34:12,USA,Desktop
61,2020-08-15 21:44:59,USA,Tablet
66,2021-10-23 02:53:39,UK,Mobile
48,2022-11-30 08:31:38,Australia,Mobile
9,2021-06-10 03:02:13,Australia,Desktop
76,2020-12-12 16:07:04,UK,Desktop
87,2022-11-26 04:16:20,UK,Mobile
92,2022-07-23 14:54:43,India,Tablet
84,2020-10-05 00:13:07,India,Mobile
89,2021-01-14 16:09:37,Australia,Tablet
92,2020-12-04 08:23:37,USA,Tablet
54,2021-11-06 11:43:31,UK,Tablet
39,2022-09-19 11:59:01,Australia,Mobile
70,2020-04-27 16:20:16,Canada,Mobile
28,2022-08-20 14:42:32,Canada,Desktop
81,2021-11-20 02:48:54,UK,Desktop
85,2022-12-19 09:08:35,India,Desktop
89,2022-11-11 23:58:38,UK,Mobile
